# ============================================================================
# AMCL 整合包译名库 (modpackdata-amcl.txt) —— 整合包专用，独立于模组库 moddata-amcl.txt
# ============================================================================
#
# 为什么单独一份：mcmod 的模组库（moddata-amcl.txt）几乎不含整合包，且整合包在两站
# 的 slug / 分类常不同；故整合包译名由本文件**手动维护**，查表按资源类型分流（整合包
# 只查本库，不与模组库交叉，避免错配）。
#
# 数据来源：本批为 CurseForge + Modrinth 各自“下载量前 100”的整合包（经官方 API 实拉，
# slug 真实）。当前**仅标注英文名（占位，待翻译）**，把 `|` 后的英文名改成中文即可。
#
# ── 行格式（同 AMCL 译名库格式）──
#   <slug 段>|<名称>
#   slug 段写法（cf 在前、mr 在后；务必各填两站真实 slug）：
#     cf-slug            仅 CurseForge（该包 Modrinth 无 / 未进前 100）
#     @mr-slug           仅 Modrinth
#     cf-slug@           两边同名
#     cf-slug@mr-slug    两边不同名（如 Prominence II：CF=prominence-2-hasturian-era，MR=prominence-2-fabric）
#
# ── 维护须知 ──
#   1. 本文件**无末尾人气排名行**；条目不带 mcmod class id，故整合包不提供“打开 MC 百科”。
#   2. 跨源合并仅在能确认是同一包时才写 cf@mr；不确定就分两条单源写（宁缺勿错，参考 Iris 教训）。
#   3. 注意：Better MC 的 [FORGE]/[FABRIC]/[NEOFORGE] 是**不同工程**，已分别单列，勿合并。
#
# ── 数据正文从下一行开始 ──
# ============================================================================
rlcraft|RLCraft
@max-fps-optimized|MAX FPS: Optimized
@the-lost-era|The Lost Era Modpack
@cobblemon-opted|Cobblemon Optimized Adds all 1028 Pokemons + Megas + Legendaries
@reimagined-intro-archived|Reimagined Intro [MOVED TO NEW PROJECT]
@kimetsunoyaiba|Kimetsu no Yaiba (Demon-Slayer)
@create-live-5|Create Live 5
@zombie-storm-100-days|Zombie Storm 100 Days
@jujutsu-kaisen-sorcery-fight|Jujutsu Kaisen (Sorcery Fight)
@versatile|Versatile
@cobblemongg|Cobblemon.gg - Ultimate Pokemon Experience
@harpy-express|The Last Voyage of the Harpy Express
@horizons1|HORIZONS
@rtx-on|RTX ON
@superheroes|SuperHeroes
@alaskan-wilderness|Alaskan Wilderness
@rl-craft|Rising Legends
@fom|命运齿轮FOM【Fate's Machinery】
@rapid_optimization|Rapid Optimization
@fpsbooster|FPS Booster
@void-rot|Void Rot
@creat-more-attachments-and-optimization|机械动力：更多附属与优化 Creat : More Attachments and Optimization
@thunder|Thunder
@animatecraft-lankeren|AnimateCraft: Lankeren
@shingeki-no-craft-modpack|Shingeki no Craft Official Modpack
@cobblemon-island|Cobblemon Islands
@modpack-better-pvp|Better PvP
@shalz-one-block-survival-create|Shalz One Block Survival Create
@fps-essentials|FPS Essentials
